draw,date,ad_date,numbers,price,lottery_type
103000243,103/10/10,2014-10-10,"11,19,31,35,36",8000000,daily_cash
103000244,103/10/11,2014-10-11,"05,06,09,10,22",8000000,daily_cash
103000245,103/10/13,2014-10-13,"04,14,21,27,35",8000000,daily_cash
103000246,103/10/14,2014-10-14,"05,14,21,33,35",8000000,daily_cash
103000247,103/10/15,2014-10-15,"06,09,18,29,30",8000000,daily_cash
103000248,103/10/16,2014-10-16,"01,12,26,29,32",8000000,daily_cash
103000249,103/10/17,2014-10-17,"18,19,24,35,37",8000000,daily_cash
103000250,103/10/18,2014-10-18,"09,14,23,31,36",8000000,daily_cash
103000251,103/10/20,2014-10-20,"04,09,23,32,33",8000000,daily_cash
103000252,103/10/21,2014-10-21,"02,06,19,22,33",8000000,daily_cash
103000253,103/10/22,2014-10-22,"15,19,28,29,39",8000000,daily_cash
103000254,103/10/23,2014-10-23,"03,05,14,18,19",8000000,daily_cash
103000255,103/10/24,2014-10-24,"07,12,25,33,37",8000000,daily_cash
103000256,103/10/25,2014-10-25,"05,10,27,31,39",8000000,daily_cash
103000257,103/10/27,2014-10-27,"02,03,05,23,37",8000000,daily_cash
103000258,103/10/28,2014-10-28,"05,10,27,29,30",8000000,daily_cash
103000259,103/10/29,2014-10-29,"07,15,18,20,34",8000000,daily_cash
103000260,103/10/30,2014-10-30,"08,09,14,31,34",8000000,daily_cash
103000261,103/10/31,2014-10-31,"06,11,18,27,38",8000000,daily_cash
103000262,103/11/01,2014-11-01,"11,17,34,36,37",8000000,daily_cash
103000263,103/11/03,2014-11-03,"05,12,28,29,34",8000000,daily_cash
103000264,103/11/04,2014-11-04,"09,11,16,36,37",8000000,daily_cash
103000265,103/11/05,2014-11-05,"03,08,29,34,38",8000000,daily_cash
103000266,103/11/06,2014-11-06,"05,13,26,27,28",8000000,daily_cash
103000267,103/11/07,2014-11-07,"13,17,27,34,36",8000000,daily_cash
103000268,103/11/08,2014-11-08,"16,20,24,26,38",8000000,daily_cash
103000269,103/11/10,2014-11-10,"11,19,25,37,39",8000000,daily_cash
103000270,103/11/11,2014-11-11,"08,13,20,30,34",8000000,daily_cash
103000271,103/11/12,2014-11-12,"05,06,09,12,20",8000000,daily_cash
103000272,103/11/13,2014-11-13,"08,21,27,30,37",8000000,daily_cash
103000273,103/11/14,2014-11-14,"01,04,19,22,33",8000000,daily_cash
103000274,103/11/15,2014-11-15,"16,21,25,27,37",8000000,daily_cash
103000275,103/11/17,2014-11-17,"08,16,18,19,31",8000000,daily_cash
103000276,103/11/18,2014-11-18,"14,19,23,25,26",8000000,daily_cash
103000277,103/11/19,2014-11-19,"23,27,29,32,36",8000000,daily_cash
103000278,103/11/20,2014-11-20,"07,11,25,30,38",8000000,daily_cash
